fars,distance_fars,finger_tops,distance_fingers_top,img,gesture
"[(0.3467741935483871, 0.42290748898678415), (0.5725806451612904, 0.5947136563876652), (0.5685483870967742, 0.7400881057268722), (0.5120967741935484, 0.8502202643171806)]","[0.22329698801950087, 0.3347341099283523, 0.3365791150598733, 0.32059966107903937]","[(0.40725806451612906, 0.11013215859030837), (0.9112903225806451, 0.42731277533039647), (0.967741935483871, 0.6960352422907489), (0.8669354838709677, 0.9691629955947136), (0.5524193548387096, 0.9911894273127754)]","[0.4172842438359738, 0.6009217364794184, 0.6256400825581041, 0.5926497367833046, 0.3956045603373916]",img_1282.png,0
"[(0.3082706766917293, 0.2675438596491228), (0.5375939849624061, 0.36403508771929827), (0.5601503759398496, 0.5), (0.518796992481203, 0.6359649122807017)]","[0.274744908129225, 0.3638594202335343, 0.3489433291539701, 0.3083885061917538]","[(0.3308270676691729, 0.008771929824561403), (0.8120300751879699, 0.10964912280701754), (0.9135338345864662, 0.3508771929824561), (0.8759398496240601, 0.6359649122807017), (0.6954887218045113, 0.8859649122807017)]","[0.43254441582764575, 0.6272101219449745, 0.6332086816203544, 0.5794959404987985, 0.47441464150841967]",img_1362.png,0
"[(0.3333333333333333, 0.37988826815642457), (0.527363184079602, 0.48044692737430167), (0.5472636815920398, 0.5810055865921788), (0.4975124378109453, 0.6927374301675978)]","[0.21645155144453565, 0.29965976491815366, 0.2991064612950155, 0.2632691036003304]","[(0.42786069651741293, 0.11173184357541899), (0.8059701492537313, 0.3128491620111732), (0.8855721393034826, 0.46368715083798884), (0.8258706467661692, 0.6312849162011173), (0.7064676616915423, 0.8491620111731844)]","[0.40333840585002306, 0.5342032628944496, 0.5610612826106953, 0.5052934776723057, 0.44063059841482577]",img_2665.png,0
"[(0.4129353233830846, 0.3333333333333333), (0.5572139303482587, 0.4895833333333333), (0.5472636815920398, 0.578125), (0.48756218905472637, 0.6510416666666666)]","[0.21909729320966279, 0.29500029339908435, 0.29423151875764053, 0.2688562793726996]","[(0.5472636815920398, 0.11458333333333333), (0.8656716417910447, 0.4479166666666667), (0.8855721393034826, 0.6145833333333334), (0.7960199004975125, 0.7291666666666666), (0.6567164179104478, 0.859375)]","[0.38720224791880203, 0.5188481385986925, 0.5393947920892422, 0.49609880383550875, 0.44709781953646194]",img_2521.png,0
"[(0.2918287937743191, 0.4223300970873786), (0.5214007782101168, 0.4368932038834951), (0.5758754863813229, 0.5533980582524272), (0.5758754863813229, 0.6990291262135923)]","[0.2839843201099391, 0.39652126048322994, 0.39526393799505233, 0.36621128675846754]","[(0.6770428015564203, 0.07766990291262135), (0.6964980544747081, 0.07766990291262135), (0.867704280155642, 0.25728155339805825), (0.5097276264591439, 0.47572815533980584), (0.914396887159533, 0.5533980582524272)]","[0.637904864403671, 0.6484032596412712, 0.6836605921937491, 0.3748315441026122, 0.6444104151468567]",img_757.png,0
"[(0.264, 0.25821596244131456), (0.516, 0.3286384976525822), (0.548, 0.4647887323943662), (0.512, 0.6197183098591549)]","[0.3064779713225231, 0.38563898372239147, 0.3596029210342438, 0.30284170195178456]","[(0.276, 0.009389671361502348), (0.784, 0.03286384976525822), (0.908, 0.24882629107981222), (0.892, 0.5633802816901409), (0.724, 0.8497652582159625)]","[0.4630623698626927, 0.6651228853829727, 0.6672450497317676, 0.5942335389229799, 0.46996782729116676]",img_1378.png,0
"[(0.2801556420233463, 0.38362068965517243), (0.5369649805447471, 0.43103448275862066), (0.5758754863813229, 0.5560344827586207), (0.5525291828793775, 0.6896551724137931)]","[0.26609823766413737, 0.3733039220808853, 0.36176213091384535, 0.32504381746126765]","[(0.2529182879377432, 0.07758620689655173), (0.7821011673151751, 0.14655172413793102), (0.914396887159533, 0.31896551724137934), (0.914396887159533, 0.6077586206896551), (0.7704280155642024, 0.8879310344827587)]","[0.4533219845793594, 0.632856384543122, 0.6550349353746541, 0.598403968125851, 0.4956494046383696]",img_1399.png,0
"[(0.2701612903225806, 0.37117903930131), (0.5282258064516129, 0.45414847161572053), (0.5483870967741935, 0.5720524017467249), (0.5120967741935484, 0.6812227074235808)]","[0.2345586743908141, 0.3351901710130831, 0.32196901783312154, 0.28737380302241494]","[(0.29435483870967744, 0.07860262008733625), (0.8024193548387096, 0.2925764192139738), (0.9112903225806451, 0.4672489082969432), (0.8508064516129032, 0.6462882096069869), (0.6814516129032258, 0.8820960698689956)]","[0.42537859383023763, 0.5644631359052972, 0.5978004646916808, 0.5366059437148804, 0.4346847243705757]",img_350.png,0
"[(0.4666666666666667, 0.30412371134020616), (0.5714285714285714, 0.5051546391752577), (0.5428571428571428, 0.5876288659793815), (0.44761904761904764, 0.6443298969072165)]","[0.2599681506757375, 0.3163708826396736, 0.3065506154417865, 0.25684330612142375]","[(0.6428571428571429, 0.13402061855670103), (0.8714285714285714, 0.5360824742268041), (0.8428571428571429, 0.7319587628865979), (0.7, 0.845360824742268), (0.48095238095238096, 0.9072164948453608)]","[0.4283039336352022, 0.5377271013707562, 0.5465732268031444, 0.48610425585258105, 0.39278134513197555]",img_2344.png,0
"[(0.2971887550200803, 0.34913793103448276), (0.5381526104417671, 0.4525862068965517), (0.5502008032128514, 0.5689655172413793), (0.5020080321285141, 0.6724137931034483)]","[0.23063459409628123, 0.32847455312804014, 0.3170798119811212, 0.2806824651337201]","[(0.36947791164658633, 0.08189655172413793), (0.8152610441767069, 0.31896551724137934), (0.9116465863453815, 0.5129310344827587), (0.8273092369477911, 0.6982758620689655), (0.6586345381526104, 0.8879310344827587)]","[0.4152603795438566, 0.550595698045916, 0.5842600534507537, 0.519276589235235, 0.43140277365697294]",img_473.png,0
"[(0.373134328358209, 0.3626373626373626), (0.5373134328358209, 0.5), (0.5522388059701493, 0.5989010989010989), (0.47761194029850745, 0.6923076923076923)]","[0.20800047079694584, 0.2895669714277796, 0.3005605100428395, 0.2616090716286068]","[(0.5074626865671642, 0.14835164835164835), (0.835820895522388, 0.4065934065934066), (0.8805970149253731, 0.5714285714285714), (0.7960199004975125, 0.7087912087912088), (0.6616915422885572, 0.8736263736263736)]","[0.3781340755905865, 0.5178881080750447, 0.5423261445466404, 0.4912148995344619, 0.43776191946066734]",img_2430.png,0
"[(0.3065134099616858, 0.37142857142857144), (0.5440613026819924, 0.42857142857142855), (0.5747126436781609, 0.5510204081632653), (0.5402298850574713, 0.6857142857142857)]","[0.2564693668617503, 0.35897190783552924, 0.34766355175476027, 0.3100776411220151]","[(0.2835249042145594, 0.07346938775510205), (0.8045977011494253, 0.17551020408163265), (0.9233716475095786, 0.37142857142857144), (0.89272030651341, 0.6489795918367347), (0.7432950191570882, 0.889795918367347)]","[0.436679225117813, 0.6121828508943704, 0.6274484604749132, 0.5676359780091007, 0.47895155995991767]",img_1387.png,0
"[(0.2857142857142857, 0.3514644351464435), (0.5357142857142857, 0.45188284518828453), (0.5555555555555556, 0.5606694560669456), (0.5, 0.6820083682008368)]","[0.2325795869131783, 0.32891720614374875, 0.3214088159074128, 0.27790481838734205]","[(0.32936507936507936, 0.0794979079497908), (0.8174603174603174, 0.3138075313807531), (0.9166666666666666, 0.49372384937238495), (0.8333333333333334, 0.6861924686192469), (0.6666666666666666, 0.895397489539749)]","[0.41490369692280066, 0.5542861721365252, 0.5874402185437206, 0.5192341909752479, 0.43442535446384367]",img_409.png,0
"[(0.24521072796934865, 0.4318181818181818), (0.5210727969348659, 0.4727272727272727), (0.5555555555555556, 0.5863636363636363), (0.5287356321839081, 0.7318181818181818)]","[0.23774356000977495, 0.3583738060021768, 0.34940091338602575, 0.3087285072136993]","[(0.26436781609195403, 0.11363636363636363), (0.7777777777777778, 0.22727272727272727), (0.9118773946360154, 0.4), (0.8773946360153256, 0.6), (0.7509578544061303, 0.8909090909090909)]","[0.43767800496237014, 0.6095956322181735, 0.6468159996688302, 0.5848796965955526, 0.48354990749721766]",img_1789.png,0
"[(0.41155234657039713, 0.31851851851851853), (0.592057761732852, 0.4777777777777778), (0.5776173285198556, 0.5851851851851851), (0.5126353790613718, 0.6703703703703704)]","[0.25956367870621655, 0.34780145995868417, 0.33893578092802096, 0.3074526474694029]","[(0.5054151624548736, 0.07407407407407407), (0.8880866425992779, 0.362962962962963), (0.924187725631769, 0.5851851851851851), (0.8158844765342961, 0.7888888888888889), (0.6101083032490975, 0.9185185185185185)]","[0.42274739027042896, 0.569357921946339, 0.5859030509385877, 0.5398030796029345, 0.45347762285912924]",img_674.png,0
"[(0.4051094890510949, 0.32575757575757575), (0.583941605839416, 0.4810606060606061), (0.5766423357664233, 0.5795454545454546), (0.5291970802919708, 0.6704545454545454)]","[0.2603108178311488, 0.34424348656140535, 0.33743413650664084, 0.3151753589130479]","[(0.46715328467153283, 0.06060606060606061), (0.8613138686131386, 0.3712121212121212), (0.916058394160584, 0.5871212121212122), (0.8357664233576643, 0.7310606060606061), (0.6532846715328468, 0.9090909090909091)]","[0.4216022528958936, 0.5541755055746497, 0.581686881021301, 0.5392670917224021, 0.4672722183669011]",img_517.png,0
"[(0.32941176470588235, 0.391304347826087), (0.5176470588235295, 0.4720496894409938), (0.5411764705882353, 0.5590062111801242), (0.5, 0.6645962732919255)]","[0.18280549998178253, 0.2634534279996348, 0.2664825191267294, 0.23875448259780238]","[(0.38235294117647056, 0.14285714285714285), (0.7764705882352941, 0.3105590062111801), (0.8529411764705882, 0.4720496894409938), (0.8176470588235294, 0.6459627329192547), (0.7058823529411765, 0.8260869565217391)]","[0.34962005138772345, 0.47966244979280015, 0.49928352014743643, 0.4664947335417346, 0.4139977943969362]",img_2200.png,0
"[(0.2857142857142857, 0.19318181818181818), (0.5862068965517241, 0.3068181818181818), (0.6059113300492611, 0.4602272727272727), (0.5517241379310345, 0.6022727272727273)]","[0.24307261732182234, 0.3616666951286935, 0.34901577443658477, 0.30901578103150046]","[(0.3399014778325123, 0.011363636363636364), (0.9261083743842364, 0.10795454545454546), (0.9901477832512315, 0.3409090909090909), (0.9605911330049262, 0.5681818181818182), (0.7635467980295566, 0.8465909090909091)]","[0.3684969254535407, 0.6493799025299398, 0.648205519500978, 0.6146826255939781, 0.5098054939045813]",img_449.png,0
"[(0.33760683760683763, 0.35833333333333334), (0.5598290598290598, 0.5208333333333334), (0.5427350427350427, 0.6333333333333333), (0.47863247863247865, 0.7125)]","[0.20885468249670025, 0.3030985038745926, 0.29329374059208513, 0.26598559293203544]","[(0.41025641025641024, 0.075), (0.8675213675213675, 0.4708333333333333), (0.9273504273504274, 0.6583333333333333), (0.8205128205128205, 0.8), (0.5811965811965812, 0.9583333333333334)]","[0.4033573368982679, 0.5206580127863341, 0.5617309597278819, 0.5113611865328789, 0.4226658789489272]",img_225.png,0
"[(0.3371212121212121, 0.288135593220339), (0.5454545454545454, 0.423728813559322), (0.553030303030303, 0.538135593220339), (0.5113636363636364, 0.6567796610169492)]","[0.2672676360534752, 0.34309016125060987, 0.3303117377160356, 0.2987842748096836]","[(0.3787878787878788, 0.00847457627118644), (0.821969696969697, 0.2584745762711864), (0.9090909090909091, 0.4872881355932203), (0.8484848484848485, 0.6610169491525424), (0.6931818181818182, 0.8771186440677966)]","[0.44202631769531703, 0.5755009579126493, 0.5979221069562363, 0.5492812011603841, 0.4694474257496119]",img_536.png,0
"[(0.33088235294117646, 0.36885245901639346), (0.5588235294117647, 0.45901639344262296), (0.5808823529411765, 0.5737704918032787), (0.5514705882352942, 0.6885245901639344)]","[0.2714853844324872, 0.3685205146018937, 0.3591752919585437, 0.3284151350025479]","[(0.3125, 0.06967213114754098), (0.7867647058823529, 0.22950819672131148), (0.9117647058823529, 0.4344262295081967), (0.8897058823529411, 0.6639344262295082), (0.7463235294117647, 0.8975409836065574)]","[0.44237261336945005, 0.590930302090948, 0.6210133488008576, 0.5804961102130131, 0.4928260053404692]",img_1020.png,0
"[(0.31840796019900497, 0.3709677419354839), (0.527363184079602, 0.45698924731182794), (0.5621890547263682, 0.5591397849462365), (0.5124378109452736, 0.6827956989247311)]","[0.21778099965152845, 0.3025508136051296, 0.3073604487966629, 0.26858186607082135]","[(0.39303482587064675, 0.11290322580645161), (0.7960199004975125, 0.27956989247311825), (0.8905472636815921, 0.45698924731182794), (0.8407960199004975, 0.6774193548387096), (0.7213930348258707, 0.8763440860215054)]","[0.39682863503695154, 0.5323764366687788, 0.5572663233710968, 0.5084063392080163, 0.4509339940523591]",img_2712.png,0
"[(0.3782051282051282, 0.40588235294117647), (0.10897435897435898, 0.4588235294117647), (0.46794871794871795, 0.4764705882352941), (0.4935897435897436, 0.611764705882353)]","[0.3277037324607249, 0.2775167623494615, 0.308938397343823, 0.24639561117215325]","[(0.5512820512820513, 0.07058823529411765), (0.5833333333333334, 0.07647058823529412), (0.7628205128205128, 0.17058823529411765), (0.8205128205128205, 0.3352941176470588), (0.4166666666666667, 0.3941176470588235)]","[0.6004387656106387, 0.6051132089469264, 0.6085800478624382, 0.5467477049072992, 0.34545121100382725]",img_2557.png,0
"[(0.25, 0.3386243386243386), (0.5241935483870968, 0.3862433862433862), (0.5685483870967742, 0.5185185185185185), (0.5604838709677419, 0.671957671957672)]","[0.25658717054131436, 0.3676001270847972, 0.3597090335817532, 0.3297692375954493]","[(0.21370967741935484, 0.010582010582010581), (0.7217741935483871, 0.042328042328042326), (0.8911290322580645, 0.2328042328042328), (0.9233870967741935, 0.5343915343915344), (0.8145161290322581, 0.8783068783068783)]","[0.4455430552029724, 0.621778403145075, 0.6655926893994945, 0.6283357881655616, 0.5356990900145597]",img_1101.png,0
"[(0.43915343915343913, 0.3096446700507614), (0.5608465608465608, 0.47715736040609136), (0.5343915343915344, 0.5634517766497462), (0.455026455026455, 0.6192893401015228)]","[0.20750057185593987, 0.2824297026960524, 0.2823346725107593, 0.2542276380257133]","[(0.6031746031746031, 0.12690355329949238), (0.8677248677248677, 0.49746192893401014), (0.8571428571428571, 0.6751269035532995), (0.7407407407407407, 0.766497461928934), (0.5238095238095238, 0.8730964467005076)]","[0.3697976499274375, 0.4947734343871801, 0.5196785019004038, 0.4775940417312269, 0.4183179854346998]",img_2034.png,0
"[(0.37037037037037035, 0.30303030303030304), (0.5843621399176955, 0.45454545454545453), (0.5679012345679012, 0.5681818181818182), (0.49794238683127573, 0.6553030303030303)]","[0.22497038525053983, 0.3145716122521576, 0.3042796737367032, 0.275925706547627]","[(0.448559670781893, 0.03409090909090909), (0.9053497942386831, 0.3181818181818182), (0.9711934156378601, 0.5416666666666666), (0.8559670781893004, 0.7613636363636364), (0.6213991769547325, 0.9053030303030303)]","[0.4121160096642325, 0.5475559045792118, 0.5746668175070958, 0.5300624973685162, 0.44649223371689867]",img_884.png,0
"[(0.3076923076923077, 0.4090909090909091), (0.5128205128205128, 0.4715909090909091), (0.5794871794871795, 0.5681818181818182), (0.5230769230769231, 0.6931818181818182)]","[0.22197893637348665, 0.305051835542407, 0.3268845726888514, 0.27409732934034203]","[(0.7589743589743589, 0.26136363636363635), (0.7794871794871795, 0.2727272727272727), (0.8769230769230769, 0.4431818181818182), (0.5538461538461539, 0.4772727272727273), (0.8666666666666667, 0.6079545454545454)]","[0.5343249092552201, 0.5432017925389915, 0.5623022527278803, 0.33030269166001863, 0.5322323336084582]",img_2258.png,0
"[(0.46190476190476193, 0.3279569892473118), (0.5857142857142857, 0.521505376344086), (0.5761904761904761, 0.6021505376344086), (0.4857142857142857, 0.6666666666666666)]","[0.25618802977020594, 0.3334286231592796, 0.336406993905358, 0.28856506667050263]","[(0.6333333333333333, 0.15053763440860216), (0.8761904761904762, 0.521505376344086), (0.8714285714285714, 0.6989247311827957), (0.780952380952381, 0.7903225806451613), (0.6, 0.9139784946236559)]","[0.4231352118920737, 0.5501208199473961, 0.5665303102721424, 0.5233687146040045, 0.45238066575395586]",img_2504.png,0
"[(0.2764227642276423, 0.37727272727272726), (0.5284552845528455, 0.4590909090909091), (0.5487804878048781, 0.5772727272727273), (0.508130081300813, 0.7)]","[0.24401085607188824, 0.3429349681437806, 0.3285087952741568, 0.2878576420885523]","[(0.32113821138211385, 0.07727272727272727), (0.8089430894308943, 0.2863636363636364), (0.9146341463414634, 0.4636363636363636), (0.8373983739837398, 0.6590909090909091), (0.7032520325203252, 0.8772727272727273)]","[0.44087410129236276, 0.5816018207963696, 0.6115134758386348, 0.5339909655758335, 0.4491270234392166]",img_418.png,0
"[(0.36585365853658536, 0.40229885057471265), (0.5414634146341464, 0.4942528735632184), (0.5609756097560976, 0.5919540229885057), (0.5219512195121951, 0.7011494252873564)]","[0.2340616537313884, 0.3187305909977333, 0.31875228737235406, 0.2879055167748564]","[(0.45365853658536587, 0.14367816091954022), (0.8048780487804879, 0.3333333333333333), (0.8780487804878049, 0.4885057471264368), (0.8195121951219512, 0.6436781609195402), (0.7219512195121951, 0.8448275862068966)]","[0.40552606662682167, 0.5435489210032491, 0.5681821388110162, 0.5132778689543875, 0.4556817025374933]",img_2672.png,0
"[(0.3412698412698413, 0.32083333333333336), (0.5595238095238095, 0.4625), (0.5515873015873016, 0.5791666666666667), (0.5, 0.6625)]","[0.23374984059304882, 0.32695543223865536, 0.3133370016904363, 0.28366886942439173]","[(0.44841269841269843, 0.075), (0.8492063492063492, 0.3875), (0.9126984126984127, 0.575), (0.8095238095238095, 0.7375), (0.6150793650793651, 0.8958333333333334)]","[0.4145606706023286, 0.5429818023470129, 0.5747413785919899, 0.5136931297217424, 0.4249182927993987]",img_498.png,0
"[(0.3053435114503817, 0.35074626865671643), (0.5343511450381679, 0.45149253731343286), (0.549618320610687, 0.5708955223880597), (0.5, 0.6828358208955224)]","[0.21880510220533983, 0.3105165648750834, 0.3045908383052722, 0.2769875455814037]","[(0.31297709923664124, 0.07462686567164178), (0.8206106870229007, 0.2462686567164179), (0.916030534351145, 0.458955223880597), (0.8625954198473282, 0.7126865671641791), (0.6641221374045801, 0.9104477611940298)]","[0.39597635999107683, 0.552469493989376, 0.5684864193214546, 0.529882715970671, 0.4461569373632489]",img_1358.png,0
"[(0.38190954773869346, 0.3516483516483517), (0.542713567839196, 0.4835164835164835), (0.542713567839196, 0.5769230769230769), (0.49246231155778897, 0.6648351648351648)]","[0.2166020917248189, 0.2926391569448295, 0.2898299070885717, 0.26390514666296505]","[(0.49748743718592964, 0.12637362637362637), (0.8391959798994975, 0.3791208791208791), (0.8844221105527639, 0.554945054945055), (0.8190954773869347, 0.6813186813186813), (0.6934673366834171, 0.8626373626373627)]","[0.38339547924163364, 0.5208608048215113, 0.5414036478771505, 0.5011502753540625, 0.4528356855747364]",img_2447.png,0
"[(0.3852140077821012, 0.371900826446281), (0.5758754863813229, 0.5702479338842975), (0.5525291828793775, 0.6900826446280992), (0.47470817120622566, 0.78099173553719)]","[0.23182404195506187, 0.3344642554638905, 0.3307608060103463, 0.3036403189374042]","[(0.49416342412451364, 0.09090909090909091), (0.9027237354085603, 0.4669421487603306), (0.933852140077821, 0.7231404958677686), (0.8015564202334631, 0.9421487603305785), (0.5408560311284046, 0.9917355371900827)]","[0.419725410865185, 0.5753127225432422, 0.6061232756433765, 0.5652301530792045, 0.4307091129900542]",img_1183.png,0
"[(0.31954887218045114, 0.3308550185873606), (0.5488721804511278, 0.44609665427509293), (0.5601503759398496, 0.5576208178438662), (0.518796992481203, 0.6654275092936803)]","[0.23324459451112667, 0.3226617776824028, 0.3152684601203537, 0.2908283804820296]","[(0.3383458646616541, 0.05947955390334572), (0.8383458646616542, 0.25650557620817843), (0.924812030075188, 0.4721189591078067), (0.8609022556390977, 0.7100371747211895), (0.6654135338345865, 0.9070631970260223)]","[0.40748737697553844, 0.5617970226759512, 0.576813482513563, 0.5332099351598956, 0.4501847952891286]",img_1265.png,0
"[(0.2697095435684647, 0.3933649289099526), (0.5228215767634855, 0.46445497630331756), (0.5477178423236515, 0.5829383886255924), (0.5103734439834025, 0.7061611374407583)]","[0.23598924171293387, 0.34084757967702334, 0.32940348630564914, 0.2903555558347677]","[(0.3153526970954357, 0.08530805687203792), (0.7966804979253111, 0.27488151658767773), (0.9087136929460581, 0.4597156398104265), (0.8506224066390041, 0.6492890995260664), (0.7053941908713693, 0.8815165876777251)]","[0.43639962271861904, 0.5816167176729713, 0.6128039997664694, 0.5478417670666011, 0.45128787636480194]",img_484.png,0
"[(0.2899628252788104, 0.348), (0.5353159851301115, 0.468), (0.5427509293680297, 0.588), (0.49814126394052044, 0.688)]","[0.2156723427685395, 0.323173125037245, 0.31598028832593295, 0.2894649829357871]","[(0.3308550185873606, 0.068), (0.8327137546468402, 0.332), (0.9219330855018587, 0.528), (0.828996282527881, 0.716), (0.6282527881040892, 0.932)]","[0.3962025270124802, 0.5588905534708289, 0.595646654493431, 0.5314498618547783, 0.4408494696263441]",img_1616.png,0
"[(0.36683417085427134, 0.3687150837988827), (0.542713567839196, 0.4972067039106145), (0.6683417085427136, 0.5921787709497207), (0.5025125628140703, 0.6759776536312849)]","[0.21688579053259519, 0.2974820586543648, 0.3848343601027195, 0.26827030539589997]","[(0.4824120603015075, 0.1340782122905028), (0.8291457286432161, 0.3854748603351955), (0.8844221105527639, 0.547486033519553), (0.8241206030150754, 0.664804469273743), (0.7085427135678392, 0.8379888268156425)]","[0.3903622427316902, 0.5219960059877486, 0.5460942426554942, 0.5033596404839462, 0.44748817408970815]",img_2488.png,0
"[(0.36996336996337, 0.2823529411764706), (0.5677655677655677, 0.43529411764705883), (0.5604395604395604, 0.5490196078431373), (0.5054945054945055, 0.6470588235294118)]","[0.25232342526831447, 0.34022709323371414, 0.32964770974038693, 0.30077694844985076]","[(0.43223443223443225, 0.00784313725490196), (0.8498168498168498, 0.28627450980392155), (0.9194139194139194, 0.5215686274509804), (0.8315018315018315, 0.7333333333333333), (0.63003663003663, 0.9019607843137255)]","[0.42467158990241693, 0.5648469909563615, 0.591596471590696, 0.5460965821088661, 0.45883311165905416]",img_1004.png,0
